BveTs Vehicle Performance Table 1.00,
#,C-Empty
0,1.00
1,21.38
2,42.77
3,64.15
4,85.54
5,106.92
6,106.92
7,106.92
8,106.92
9,106.92
10,106.92
11,106.92
12,106.92
13,106.92
14,106.92
15,106.92
16,106.92
17,106.92
18,106.92
19,106.92
20,106.92
21,106.92
22,106.92
23,106.92
24,106.92
25,106.92
26,106.92
27,106.92
28,106.92
29,106.92
30,106.92
31,106.92
32,106.92
33,106.92
34,106.92
35,106.92
36,106.92
37,106.92
38,106.92
39,106.92
40,106.92
41,106.92
42,106.92
43,106.92
44,106.92
45,106.92
46,106.92
47,106.92
48,108.16
49,109.46
50,110.76
51,111.15
52,111.59
53,112.05
54,112.55
55,113.07
56,113.62
57,114.20
58,114.81
59,115.43
60,116.08
61,116.75
62,117.44
63,117.47
64,115.63
65,113.85
66,112.13
67,110.45
68,108.83
69,107.25
70,105.72
71,104.23
72,102.78
73,101.38
74,100.01
75,98.67
76,97.37
77,96.11
78,94.88
79,93.68
80,92.51
81,91.36
82,90.25
83,89.16
84,88.10
85,87.06
86,86.05
87,85.06
88,84.10
89,83.15
90,82.23
91,81.32
92,80.44
93,79.57
94,78.73
95,77.90
96,77.09
97,76.29
98,75.51
99,74.75
100,74.00
101,73.27
102,72.55
103,71.85
104,71.16
105,70.48
106,69.82
107,69.16
108,68.52
109,67.89
110,67.28
111,66.67
112,66.08
113,65.49
114,64.92
115,64.35
116,63.80
117,63.25
118,62.72
119,62.19
120,61.67
121,61.16
122,60.66
123,60.17
124,59.68
125,59.20
126,58.73
127,58.27
128,57.82
129,57.37
130,56.93
131,56.49
132,56.06
133,55.64
134,55.23
135,54.82
136,54.41
137,54.02
138,53.63
139,53.24
140,52.86
141,52.49
142,52.12
143,51.75
144,51.39
145,51.04
146,50.69
147,50.34
148,50.00
149,49.67
150,49.34
