BveTs Vehicle Performance Table 1.00,
#,C-Max
0,1.00
1,183.56
2,183.56
3,183.56
4,183.56
5,183.56
6,183.56
7,183.56
8,183.56
9,183.56
10,183.56
11,183.56
12,183.56
13,183.56
14,183.56
15,183.56
16,183.56
17,183.56
18,183.56
19,183.56
20,183.56
21,183.56
22,183.56
23,183.56
24,183.56
25,183.56
26,183.56
27,183.56
28,183.56
29,183.56
30,183.56
31,183.56
32,183.56
33,183.56
34,183.56
35,183.56
36,183.56
37,183.56
38,183.56
39,183.56
40,183.56
41,183.56
42,183.56
43,183.56
44,183.56
45,183.56
46,183.56
47,183.56
48,183.56
49,183.56
50,183.56
51,182.66
52,171.41
53,168.18
54,165.06
55,162.06
56,159.17
57,156.38
58,153.68
59,151.08
60,148.56
61,146.12
62,143.77
63,141.48
64,139.27
65,137.13
66,135.05
67,133.04
68,131.08
69,129.18
70,127.34
71,125.54
72,123.80
73,122.10
74,120.45
75,118.85
76,117.28
77,115.76
78,114.28
79,112.83
80,111.42
81,110.04
82,108.70
83,107.39
84,106.11
85,104.86
86,103.65
87,102.45
88,101.29
89,100.15
90,99.04
91,97.95
92,96.89
93,95.84
94,94.82
95,93.83
96,92.85
97,91.89
98,90.95
99,90.04
100,89.13
101,88.25
102,87.39
103,86.54
104,85.71
105,84.89
106,84.09
107,83.30
108,82.53
109,81.78
110,81.03
111,80.30
112,79.58
113,78.88
114,78.19
115,77.51
116,76.84
117,76.18
118,75.54
119,74.90
120,74.28
121,73.67
122,73.06
123,72.47
124,71.88
125,71.31
126,70.74
127,70.18
128,69.64
129,69.10
130,68.57
131,68.04
132,67.53
133,67.02
134,66.52
135,66.03
136,65.54
137,65.06
138,64.59
139,64.13
140,63.67
141,63.22
142,62.77
143,62.33
144,61.90
145,61.47
146,61.05
147,60.64
148,60.23
149,59.82
150,59.42
