BveTs Vehicle Performance Table 1.00,
#,
0,1.00
1,9.18
2,18.36
3,27.53
4,36.71
5,45.89
6,45.89
7,45.89
8,45.89
9,45.89
10,45.89
11,45.89
12,45.89
13,45.89
14,45.89
15,45.89
16,45.89
17,45.89
18,45.89
19,45.89
20,45.89
21,45.89
22,45.89
23,45.89
24,45.89
25,45.89
26,45.89
27,45.89
28,45.89
29,45.89
30,45.89
31,45.89
32,45.89
33,45.89
34,45.89
35,45.89
36,45.89
37,45.89
38,45.89
39,45.89
40,45.89
41,45.89
42,45.89
43,45.89
44,45.89
45,45.89
46,45.89
47,45.89
48,45.89
49,45.89
50,45.89
51,44.99
52,44.13
53,43.29
54,42.49
55,41.72
56,40.97
57,40.26
58,39.56
59,38.89
60,38.24
61,37.62
62,37.01
63,36.42
64,35.85
65,35.30
66,34.77
67,34.25
68,33.74
69,33.25
70,32.78
71,32.32
72,31.87
73,31.43
74,31.01
75,30.59
76,30.19
77,29.80
78,29.42
79,29.05
80,28.68
81,28.33
82,27.98
83,27.65
84,27.32
85,26.99
86,26.68
87,26.37
88,26.07
89,25.78
90,25.50
91,25.21
92,24.94
93,24.67
94,24.41
95,24.15
96,23.90
97,23.66
98,23.41
99,23.18
100,22.95
101,22.72
102,22.50
103,22.28
104,22.06
105,21.85
106,21.65
107,21.44
108,21.25
109,21.05
110,20.86
111,20.67
112,20.49
113,20.31
114,20.13
115,19.95
116,19.78
117,19.61
118,19.45
119,19.28
120,19.12
121,18.96
122,18.81
123,18.65
124,18.50
125,18.36
126,18.21
127,18.07
128,17.93
129,17.79
130,17.65
131,17.52
132,17.38
133,17.25
134,17.12
135,17.00
136,16.87
137,16.75
138,16.63
139,16.51
140,16.39
141,16.27
142,16.16
143,16.05
144,15.93
145,15.82
146,15.72
147,15.61
148,15.50
149,15.40
150,15.30
