BveTs Vehicle Performance Table 1.00,
#,F-Max
0,1
1,16491
2,32981
3,49472
4,65962
5,82452
6,82452
7,82452
8,82452
9,82452
10,82452
11,82452
12,82452
13,82452
14,82452
15,82452
16,82452
17,82452
18,82452
19,82452
20,82452
21,82452
22,82452
23,82452
24,82452
25,82452
26,82452
27,82452
28,82452
29,82452
30,82452
31,82452
32,82452
33,82452
34,82452
35,82452
36,82452
37,82452
38,82452
39,82452
40,82452
41,82452
42,82452
43,82452
44,82452
45,82452
46,82452
47,82452
48,82452
49,82452
50,82452
51,82452
52,75934
53,72956
54,70148
55,67496
56,64990
57,62619
58,60373
59,58244
60,56224
61,54306
62,52483
63,50749
64,49098
65,47525
66,46026
67,44595
68,43229
69,41924
70,40676
71,39482
72,38339
73,37245
74,36196
75,35190
76,34224
77,33298
78,32408
79,31552
80,30730
81,29938
82,29177
83,28443
84,27737
85,27056
86,26400
87,25767
88,25156
89,24566
90,23996
91,23446
92,22914
93,22399
94,21902
95,21420
96,20955
97,20504
98,20067
99,19643
100,19233
101,18835
102,18450
103,18076
104,17713
105,17360
106,17018
107,16686
108,16363
109,16049
110,15744
111,15448
112,15160
113,14879
114,14607
115,14341
116,14083
117,13831
118,13586
119,13348
120,13115
121,12889
122,12668
123,12452
124,12243
125,12038
126,11838
127,11643
128,11453
129,11267
130,11086
131,10909
132,10736
133,10567
134,10403
135,10241
136,10084
137,9930
138,9779
139,9632
140,9488
141,9348
142,9210
143,9075
144,8943
145,8814
146,8688
147,8564
148,8443
149,8325
150,8209
