BveTs Vehicle Performance Table 1.00,,,,,
#,cMax,,,,
#,1,2,3,4,5
#,p1cMax,p2cMax,p3cMax,p4cMax,p5cMax
0,47.1,143.9,144.5,144.5,172.7
1,47.1,143.9,144.5,144.5,172.7
2,47.1,143.9,144.5,144.5,172.7
3,31.4,143.9,144.5,144.5,172.7
4,23.6,143.9,144.5,144.5,172.7
5,18.8,143.9,144.5,144.5,172.7
6,15.7,119.9,144.5,144.5,172.7
7,13.5,102.8,144.5,144.5,172.7
8,11.8,89.9,144.5,144.5,172.7
9,10.5,80,144.5,144.5,172.7
10,9.4,72,144.5,144.5,172.7
11,8.6,65.4,144.5,144.5,172.7
12,7.9,60,144.5,144.5,172.7
13,7.2,55.4,133.4,144.5,172.7
14,6.7,51.4,123.9,144.5,172.7
15,6.3,48,115.6,144.5,172.7
16,5.9,45,108.4,144.5,172.7
17,5.5,42.3,102,144.5,172.7
18,5.2,40,96.3,144.5,172.7
19,5,37.9,91.3,144.5,172.7
20,4.7,36,86.7,144.5,172.7
21,4.5,34.3,82.6,137.6,172.7
22,4.3,32.7,78.8,131.4,172.7
23,4.1,31.3,75.4,125.7,172.7
24,3.9,30,72.3,120.4,172.7
25,3.8,28.8,69.4,115.6,172.7
26,3.6,27.7,66.7,111.2,172.7
27,3.5,26.7,64.2,107,172.7
28,3.4,25.7,61.9,103.2,172.7
29,3.2,24.8,59.8,99.7,172.7
30,3.1,24,57.8,96.3,172.7
31,3,23.2,55.9,93.2,172.7
32,2.9,22.5,54.2,90.3,172.7
33,2.9,21.8,52.5,87.6,172.7
34,2.8,21.2,51,85,172.7
35,2.7,20.6,49.5,82.6,172.7
36,2.6,20,48.2,80.3,172.7
37,2.5,19.4,46.9,78.1,172.7
38,2.5,18.9,45.6,76.1,172.7
39,2.4,18.5,44.5,74.1,172.7
40,2.4,18,43.4,72.3,172.7
41,2.3,17.6,42.3,70.5,172.7
42,2.2,17.1,41.3,68.8,172.7
43,2.2,16.7,40.3,67.2,172.7
44,2.1,16.4,39.4,65.7,172.7
45,2.1,16,38.5,64.2,172.7
46,2,15.6,37.7,62.8,168.9
47,2,15.3,36.9,61.5,165.3
48,2,15,36.1,60.2,161.9
49,1.9,14.7,35.4,59,158.6
50,1.9,14.4,34.7,57.8,155.4
51,1.8,14.1,34,56.7,152.3
52,1.8,13.8,33.3,55.6,149.4
53,1.8,13.6,32.7,54.5,146.6
54,1.7,13.3,32.1,53.5,143.9
55,1.7,13.1,31.5,52.5,141.3
56,1.7,12.8,31,51.6,138.7
57,1.7,12.6,30.4,50.7,136.3
58,1.6,12.4,29.9,49.8,134
59,1.6,12.2,29.4,49,131.7
60,1.6,12,28.9,48.2,129.5
61,1.5,11.8,28.4,47.4,127.4
62,1.5,11.6,28,46.6,125.3
63,1.5,11.4,27.5,45.9,123.3
64,1.5,11.2,27.1,45.2,121.4
65,1.4,11.1,26.7,44.5,119.5
66,1.4,10.9,26.3,43.8,117.7
67,1.4,10.7,25.9,43.1,116
68,1.4,10.6,25.5,42.5,114.3
69,1.4,10.4,25.1,41.9,112.6
70,1.3,10.3,24.8,41.3,111
71,1.3,10.1,24.4,40.7,109.4
72,1.3,10,24.1,40.1,107.9
73,1.3,9.9,23.8,39.6,106.4
74,1.3,9.7,23.4,39.1,105
75,1.3,9.6,23.1,38.5,103.6
76,1.2,9.5,22.8,38,102.2
77,1.2,9.3,22.5,37.5,100.9
78,1.2,9.2,22.2,37.1,99.6
79,1.2,9.1,22,36.6,98.4
80,1.2,9,21.7,36.1,97.1
81,1.2,8.9,21.4,35.7,95.9
82,1.1,8.8,21.1,35.2,94.8
83,1.1,8.7,20.9,34.8,93.6
