BveTs Vehicle Performance Table 1.00,,,,,
#,fMax,,,,
#,1,2,3,4,5
#,p1fMax,p2fMax,p3fMax,p4fMax,p5fMax
0,21651,66155,66425,66425,79366
1,21651,66155,66425,66425,79366
2,21651,66155,66425,66425,79366
3,21651,66155,66425,66425,79366
4,21651,66155,66425,66425,79366
5,21651,66155,66425,66425,79366
6,21651,66155,66425,66425,79366
7,18739.3,66155,66425,66425,79366
8,15544,66155,66425,66425,79366
9,13181.1,66155,66425,66425,79366
10,11373.4,66155,66425,66425,79366
11,9952.7,66155,66425,66425,79366
12,8811.2,66155,66425,66425,79366
13,7877.2,66155,66425,66425,79366
14,7100.9,62603.9,66425,66425,79366
15,6447.1,56839.8,66425,66425,79366
16,5890.1,51929.3,66425,66425,79366
17,5410.8,47703.7,66425,66425,79366
18,4994.7,44035.1,66425,66425,79366
19,4630.6,40824.9,66425,66425,79366
20,4309.7,37996.1,66425,66425,79366
21,4025.2,35487.4,66425,66425,79366
22,3771.4,33249.8,66425,66425,79366
23,3543.8,31243.6,61783,66425,79366
24,3338.8,29436.4,57226.7,66425,79366
25,3153.4,27801.3,53172.5,66425,79366
26,2984.9,26315.9,49548.1,66425,79366
27,2831.3,24961.5,46294,66425,79366
28,2690.7,23722.4,43360.5,65249,79366
29,2561.7,22585.2,40706.4,61255,79366
30,2443,21538.3,38296.7,57628.8,79366
31,2333.4,20571.9,36101.7,54325.9,76805.8
32,2231.9,19677.5,34096.4,51308.4,74405.6
33,2137.8,18847.8,32259.2,48543.7,72150.9
34,2050.3,18076.3,30571.5,46004,70028.8
35,1968.8,17357.4,29017.3,43665.2,68028
36,1892.6,16686.2,27582.6,41506.3,66138.3
37,1821.4,16058.3,26255.2,39508.9,64350.8
38,1754.7,15469.8,25024.7,37657.2,62657.4
39,1692,14917.3,23881.6,35937,61050.8
40,1633.1,14397.8,22817.7,34336,59524.5
41,1577.6,13908.6,21825.7,32843.3,58072.7
42,1525.2,13447.2,20899.2,31449.2,56690
43,1475.8,13011.4,20032.5,30145,55371.6
44,1429.1,12599.3,19220.5,28923,54113.2
45,1384.8,12209.1,18458.5,27776.4,52910.7
46,1342.9,11839.1,17742.5,26698.9,50635.2
47,1303,11488,17068.8,25685.1,48503.4
48,1265.2,11154.3,16434.1,24730,46503.5
49,1229.2,10836.9,15835.3,23829,44624.8
50,1194.9,10534.7,15269.8,22978,42857.6
51,1162.2,10246.7,14735.1,22173.4,41193.4
52,1131.1,9971.9,14229,21411.7,39624.3
53,1101.3,9709.4,13749.4,20690,38143.1
54,1072.8,9458.7,13294.4,20005.5,36743.5
55,1045.6,9218.8,12862.5,19355.5,35419.5
56,1019.6,8989.1,12452,18737.8,34165.8
57,994.6,8769.1,12061.6,18150.3,32977.6
58,970.7,8558.2,11689.8,17590.9,31850.2
59,947.8,8355.8,11335.6,17057.9,30779.7
60,925.7,8161.5,10997.8,16549.5,29762.3
61,904.5,7974.8,10675.4,16064.4,28794.4
62,884.2,7795.3,10367.5,15601,27873.1
63,864.6,7622.6,10073.2,15158.1,26995.2
64,845.7,7456.4,9791.6,14734.5,26158.2
65,827.6,7296.3,9522.2,14328.9,25359.6
66,810.1,7142,9264,13940.5,24596.9
67,793.2,6993.2,9016.6,13568.2,23868.1
68,776.9,6849.6,8779.4,13211.2,23171.3
69,761.2,6711.1,8551.7,12868.6,22504.5
70,746,6577.2,8333,12539.5,21866.1
71,731.4,6447.9,8123,12223.4,21254.5
72,717.2,6322.9,7921,11919.5,20668.2
73,703.5,6202,7726.8,11627.2,20105.9
74,690.2,6084.9,7539.8,11346,19566.1
75,677.3,5971.7,7359.8,11075.1,19047.8
76,664.9,5861.9,7186.5,10814.2,18549.9
77,652.8,5755.6,7019.3,10562.7,18071.2
78,641.1,5652.6,6858.2,10320.2,17610.8
79,629.8,5552.7,6702.7,10086.2,17167.8
80,618.8,5455.8,6552.7,9860.4,16741.3
81,608.2,5361.7,6407.8,9642.4,16330.5
82,597.8,5270.4,6267.8,9431.8,15934.6
83,587.7,5181.7,6132.5,9228.2,15552.9
84,578,5095.5,6001.7,9031.4,15184.8
85,568.5,5011.8,5875.2,8841.1,14829.6
86,559.2,4930.4,5752.8,8656.9,14486.8
87,550.3,4851.3,5634.4,8478.6,14155.6
88,541.5,4774.2,5519.6,8305.9,13835.8
89,533,4699.3,5408.5,8138.7,13526.6
90,524.7,4626.4,5300.8,7976.7,13227.7
91,516.7,4555.4,5196.4,7819.6,12938.5
92,508.8,4486.2,5095.2,7667.3,12658.8
93,501.2,4418.8,4997,7519.5,12388
94,493.8,4353.1,4901.7,7376.1,12125.9
95,486.5,4289.1,4809.2,7236.9,11871.9
96,479.4,4226.7,4719.4,7101.8,11625.9
97,472.5,4165.8,4632.2,6970.6,11387.4
98,465.8,4106.4,4547.5,6843.1,11156.2
99,459.2,4048.5,4465.1,6719.2,10932
100,452.8,3991.9,4385.1,6598.7,10714.4
101,446.5,3936.7,4307.3,6481.6,10503.3
102,440.4,3882.8,4231.5,6367.6,10298.4
103,434.4,3830.1,4157.9,6256.8,10099.4
104,428.6,3778.6,4086.2,6148.9,9906.1
105,422.9,3728.3,4016.4,6043.9,9718.3
106,417.3,3679.2,3948.5,5941.7,9535.8
107,411.9,3631.1,3882.3,5842.1,9358.4
108,406.5,3584.2,3817.8,5745.1,9185.9
109,401.3,3538.2,3755,5650.5,9018.1
110,396.2,3493.3,3693.8,5558.4,8854.9
111,391.2,3449.3,3634.1,5468.6,8696.1
112,386.4,3406.2,3575.9,5381,8541.5
113,381.6,3364.1,3519.2,5295.6,8391
114,376.9,3322.9,3463.8,5212.3,8244.4
115,372.3,3282.5,3409.8,5131,8101.6
116,367.8,3242.9,3357,5051.7,7962.6
117,363.4,3204.2,3305.6,4974.2,7827
118,359.1,3166.3,3255.3,4898.6,7694.9
119,354.9,3129.1,3206.2,4824.7,7566.1
120,350.8,3092.6,3158.3,4752.6,7440.6
